value,scope,type,description,column_format
timeSinceLastSnap,GAME_EVENT,INT,Seconds between LOS Snaps,event.timeSinceLastSnap
downSetConversion,GAME_EVENT_ENTITY,FLAG,This set of downs was converted,event.downSetConversion
playRoutesRun,GAME_EVENT,INT,Routes Run Count,event.playRoutesRun
playPositionLeft,GAME_EVENT_ENTITY,FLAG,Play Position Left,event.playPositionLeft
playPositionRight,GAME_EVENT_ENTITY,FLAG,Play Position Right,event.playPositionRight
playPositionSlot,GAME_EVENT_ENTITY,FLAG,Play Position Slot,event.playPositionSlot
passBlockers,GAME_EVENT,INT,Pass Blocker Count,event.passBlockers
coverageCount,GAME_EVENT,INT,Coverage Count,event.coverageCount
playTimeInPocket,GAME_EVENT,FLOAT,Time In Pocket,event.playTimeInPocket
playTimeBeforePass,GAME_EVENT,FLOAT,Time Before Pass,event.playTimeBeforePass
playoffRound,GAME,ENUM,Playoff Round,event.playoffRound
playoffWeek,GAME,INT,Playoff Week,event.playoffWeek
ot,GAME,FLAG,Overtime Game,event.ot
month,GAME,INT,Month,event.month
dayOfWeek,GAME,ENUM,Day Of Week,event.dayOfWeek
finalYards,GAME_ENTITY,INT,Final Yards Gained,event.finalYards
finalYardsOpponent,GAME_ENTITY,INT,Final Yards Gained by Opponent,event.finalYardsOpponent
finalYardsDiff,GAME_ENTITY,INT,Final Yard Margin,event.finalYardsDiff
finalPassYards,GAME_ENTITY,INT,Final Pass Yards Gained,event.finalPassYards
finalPassYardsOpponent,GAME_ENTITY,INT,Final Pass Yards Gained by Opponent,event.finalPassYardsOpponent
finalPassYardsDiff,GAME_ENTITY,INT,Final Pass Yard Margin,event.finalPassYardsDiff
finalRushYards,GAME_ENTITY,INT,Final Rush Yards Gained,event.finalRushYards
finalRushYardsOpponent,GAME_ENTITY,INT,Final Rush Yards Gained by Opponent,event.finalRushYardsOpponent
finalRushYardsDiff,GAME_ENTITY,INT,Final Rush Yard Margin,event.finalRushYardsDiff
finalTurnovers,GAME_ENTITY,INT,Final Turnovers,event.finalTurnovers
finalTurnoversOpponent,GAME_ENTITY,INT,Final Turnovers by Opponent,event.finalTurnoversOpponent
finalTurnoversDiff,GAME_ENTITY,INT,Final Turnovers Margin,event.finalTurnoversDiff
currentScoreOpponent,GAME_EVENT_ENTITY,INT,Current Score Opponent,event.currentScoreOpponent
currentScoreDiff,GAME_EVENT_ENTITY,INT,Current Score Diff,event.currentScoreDiff
passerId,GAME_EVENT,INT,Passer ID,event.passerId
rusherId,GAME_EVENT,INT,Rusher ID,event.rusherId
targetId,GAME_EVENT,INT,Target ID,event.targetId
rusherPosition,GAME_EVENT,ENUM,Rusher Position,event.rusherPosition
targetPosition,GAME_EVENT,ENUM,Target Position,event.targetPosition
driveDeepestDist,GAME_EVENT,INT,Deepest Drive Distance,event.driveDeepestDist
playNumInDrive,GAME_EVENT,INT,Play Number In Drive,event.playNumInDrive
previousPlayYards,GAME_EVENT,INT,Previous Play Yards,event.previousPlayYards
previousPlayDown,GAME_EVENT,INT,Previous Play Down,event.previousPlayDown
previousPlayResult,GAME_EVENT,ENUM,Previous Play Result,event.previousPlayResult
playResult,GAME_EVENT,ENUM,Play Result,event.playResult
drivePenaltyFirstDowns,GAME_EVENT,INT,Drive Penalty First Downs,event.drivePenaltyFirstDowns
driveOffPenalties,GAME_EVENT,INT,Drive Offensive Penalties,event.driveOffPenalties
driveDefPenalties,GAME_EVENT,INT,Drive Defensive Penalties,event.driveDefPenalties
playAirYards,GAME_EVENT,INT,Air Yards,event.playAirYards
playAirYardsFromFirstDown,GAME_EVENT,INT,Air Yards Past First Down,event.playAirYardsFromFirstDown
playYAC,GAME_EVENT,INT,Yards After Catch,event.playYAC
playYardsAfterContact,GAME_EVENT,INT,Yards After Contact,event.playYardsAfterContact
playDesc,GAME_EVENT,STRING,Play Description,event.playDesc
transitionalGame,GAME_ENTITY,FLAG,FBS Transitional Game,event.transitionalGame
officialGame,GAME_ENTITY,FLAG,Official Game,event.officialGame
unofficialGame,GAME_ENTITY,FLAG,Unofficial Game,event.unofficialGame
driveStartTimeouts,GAME_EVENT_ENTITY,INT,Timeouts at the start of the drive,event.driveStartTimeouts
timeoutsRemaining,GAME_EVENT_ENTITY,INT,Timeouts Remaining in Half,event.timeoutsRemaining
driveTimeoutsUsed,GAME_EVENT_ENTITY,INT,Timeouts used in drive,event.driveTimeoutsUsed
teamGameNumber,GAME_ENTITY,INT,Team Game Number in Season,event.teamGameNumber
hasContactData,GAME,FLAG,Has Contact Data,event.hasContactData
driveNonTDFirstDowns,GAME_EVENT,INT,Drive Non-TD First Downs,event.driveNonTDFirstDowns
driveStartingTimeToHalf,GAME_EVENT,INT,Time Left in Half at Start of Drive,event.driveStartingTimeToHalf
driveStartingTimeToRegulation,GAME_EVENT,INT,Time Left in Regulation at Start of Drive,event.driveStartingTimeToRegulation
timeToHalf,GAME_EVENT,INT,Time Left in Half,event.timeToHalf
timeToRegulation,GAME_EVENT,INT,Time Left in Regulation,event.timeToRegulation
seasonWins,GAME_ENTITY,INT,Season Wins,event.seasonWins
seasonLosses,GAME_ENTITY,INT,Season Losses,event.seasonLosses
seasonTies,GAME_ENTITY,INT,Season Ties,event.seasonTies
seasonWinLossMargin,GAME_ENTITY,INT,Season Win-Loss Margin,event.seasonWinLossMargin
pregameWins,GAME_ENTITY,INT,Pregame Wins,event.pregameWins
pregameLosses,GAME_ENTITY,INT,Pregame Losses,event.pregameLosses
pregameTies,GAME_ENTITY,INT,Pregame Ties,event.pregameTies
pregameWinLossMargin,GAME_ENTITY,INT,Pregame Win Loss Margin,event.pregameWinLossMargin
opponentSeasonWins,GAME_ENTITY,INT,Opponent Season Wins,event.opponentSeasonWins
opponentSeasonLosses,GAME_ENTITY,INT,Opponent Season Losses,event.opponentSeasonLosses
opponentSeasonTies,GAME_ENTITY,INT,Opponent Season Ties,event.opponentSeasonTies
opponentSeasonWinLossMargin,GAME_ENTITY,INT,Opponent Season Win-Loss Margin,event.opponentSeasonWinLossMargin
opponentSeasonWinPercentage,GAME_ENTITY,FLOAT,Opponent Season Win%,event.opponentSeasonWinPercentage
opponentPregameWins,GAME_ENTITY,INT,Opponent Pregame Wins,event.opponentPregameWins
opponentPregameLosses,GAME_ENTITY,INT,Opponent Pregame Losses,event.opponentPregameLosses
opponentPregameTies,GAME_ENTITY,INT,Opponent Pregame Ties,event.opponentPregameTies
opponentPregameWinLossMargin,GAME_ENTITY,INT,Opponent Pregame Win Loss Margin,event.opponentPregameWinLossMargin
opponentPregameWinPercentage,GAME_ENTITY,FLOAT,Opponent Pregame Win%,event.opponentPregameWinPercentage
opponentSeasonExcludedWins,GAME_ENTITY,INT,Opponent Season Excluded Wins,event.opponentSeasonExcludedWins
opponentSeasonExcludedLosses,GAME_ENTITY,INT,Opponent Season Excluded Losses,event.opponentSeasonExcludedLosses
opponentSeasonExcludedTies,GAME_ENTITY,INT,Opponent Season Excluded Ties,event.opponentSeasonExcludedTies
playYardsGained,GAME_EVENT,INT,Yards Gained On Play,event.playYardsGained
yardsGained,GAME_EVENT_ENTITY,INT,Yards Gained By Team On Play,event.yardsGained
playPossPenalties,GAME_EVENT,INT,Possession Penalties,event.playPossPenalties
playOppPossPenalties,GAME_EVENT,INT,Opponent Possession Penalties,event.playOppPossPenalties
playPossPenaltiesAccepted,GAME_EVENT,INT,Possession Penalties Accepted,event.playPossPenaltiesAccepted
playOppPossPenaltiesAccepted,GAME_EVENT,INT,Opponent Possession Penalties Accepted,event.playOppPossPenaltiesAccepted
playPossPenaltyYards,GAME_EVENT,INT,Possession Penalty Yards,event.playPossPenaltyYards
playOppPossPenaltyYards,GAME_EVENT,INT,Opponent Possession Penalty Yards,event.playOppPossPenaltyYards
downSetNumber,GAME_EVENT,INT,Sequential Number of Down Set in Game,event.downSetNumber
replayDown,GAME_EVENT,FLAG,Replay Last Down,event.replayDown
driveEndedInKneel,GAME_EVENT,FLAG,Drive Ended in a Kneel,event.driveEndedInKneel
driveStartScore,GAME_EVENT_ENTITY,INT,Drive Start Score,event.driveStartScore
driveEndScore,GAME_EVENT_ENTITY,INT,Drive End Score,event.driveEndScore
drivePointsScored,GAME_EVENT_ENTITY,INT,Drive Points Scored,event.drivePointsScored
gameTimeOfPossession,GAME_ENTITY,INT,Game Time Of Possession,event.gameTimeOfPossession
inDivGame,GAME,FLAG,In Division Game,event.inDivGame
inConfGame,GAME,FLAG,In Conference Game,event.inConfGame
inPower5,GAME_ENTITY,FLAG,In Power 5,event.inPower5
inGroupOf5,GAME_ENTITY,FLAG,In Group Of 5,event.inGroupOf5
passerPosition,GAME_EVENT,ENUM,Passer Position,event.passerPosition
playYardsBeforeContact,GAME_EVENT,INT,Yards Before Contact,event.playYardsBeforeContact
offenseTeamPenaltyYards,GAME_EVENT,INT,Penalty Yards for the Offense Team,event.offenseTeamPenaltyYards
defenseTeamPenaltyYards,GAME_EVENT,INT,Penalty Yards for the Defense Team,event.defenseTeamPenaltyYards
preReceptionFumble,GAME_EVENT,FLAG,Flag indicating a fumble on a reception occured before the pass,event.preReceptionFumble
receivingFumble,GAME_EVENT_ENTITY,FLAG,Receiving Fumble,event.receivingFumble
receivingFumbleLost,GAME_EVENT_ENTITY,FLAG,Receiving Fumble Lost,event.receivingFumbleLost
returningFumble,GAME_EVENT_ENTITY,FLAG,Returning Fumble,event.returningFumble
returningFumbleLost,GAME_EVENT_ENTITY,FLAG,Returning Fumble Lost,event.returningFumbleLost
rushingFumble,GAME_EVENT_ENTITY,FLAG,Rushing Fumble,event.rushingFumble
rushingFumbleLost,GAME_EVENT_ENTITY,FLAG,Rushing Fumble Lost,event.rushingFumbleLost
teamPossessionNumber,GAME_EVENT,INT,Possession Number for the offense in the game,event.teamPossessionNumber
reversePossessionNumber,GAME_EVENT,INT,Reverse Possession Number from the end of the game for the offense,event.reversePossessionNumber
teamHalfPossessionNumber,GAME_EVENT,INT,Possession Number from the start of the half for the offense,event.teamHalfPossessionNumber
reverseHalfPossessionNumber,GAME_EVENT,INT,Reverse Possession Number from the end of the half for the offense,event.reverseHalfPossessionNumber
ncaaMajorBowl,GAME,FLAG,Major Bowl Game,event.ncaaMajorBowl
ncaaNationalChampionship,GAME,FLAG,National Championship,event.ncaaNationalChampionship
gameLastModified,GAME,DATE,Last Time Game was modified,event.gameLastModified
outOfConfGame,GAME,FLAG,Out of Conference Game,event.outOfConfGame
playAirYardsToGoal,GAME_EVENT,INT,Air Yards To Goal,event.playAirYardsToGoal
thrownToEndZone,GAME_EVENT,FLAG,Thrown To End Zone,event.thrownToEndZone
teamWarningMajor,GAME_ENTITY,STRING,Major Team Validation Warning,event.teamWarningMajor
stPlay,GAME_EVENT,FLAG,Special Teams Play,event.stPlay
qbContact,GAME_EVENT,FLAG,QB Contact,event.qbContact
q1Score,GAME_ENTITY,INT,First Quarter Score,event.q1Score
q1ScoreOpponent,GAME_ENTITY,INT,First Quarter Opponent Score,event.q1ScoreOpponent
q1ScoreDiff,GAME_ENTITY,INT,First Quarter Score Diff,event.q1ScoreDiff
q2Score,GAME_ENTITY,INT,Second Quarter Score,event.q2Score
q2ScoreOpponent,GAME_ENTITY,INT,Second Quarter Opponent Score,event.q2ScoreOpponent
q2ScoreDiff,GAME_ENTITY,INT,Second Quarter Score Diff,event.q2ScoreDiff
q3Score,GAME_ENTITY,INT,Third Quarter Score,event.q3Score
q3ScoreOpponent,GAME_ENTITY,INT,Third Quarter Opponent Score,event.q3ScoreOpponent
q3ScoreDiff,GAME_ENTITY,INT,Third Quarter Score Diff,event.q3ScoreDiff
q4Score,GAME_ENTITY,INT,Fourth Quarter Score,event.q4Score
q4ScoreOpponent,GAME_ENTITY,INT,Fourth Quarter Opponent Score,event.q4ScoreOpponent
q4ScoreDiff,GAME_ENTITY,INT,Fourth Quarter Score Diff,event.q4ScoreDiff
q12Score,GAME_ENTITY,INT,Score Through Second Quarter,event.q12Score
q12ScoreOpponent,GAME_ENTITY,INT,Opponent Score Through Second Quarter,event.q12ScoreOpponent
q12ScoreDiff,GAME_ENTITY,INT,Score Through Second Quarter Diff,event.q12ScoreDiff
q123Score,GAME_ENTITY,INT,Score Through Third Quarter,event.q123Score
q123ScoreOpponent,GAME_ENTITY,INT,Opponent Score Through Third Quarter,event.q123ScoreOpponent
q123ScoreDiff,GAME_ENTITY,INT,Score Through Third Quarter Diff,event.q123ScoreDiff
q1234Score,GAME_ENTITY,INT,Score Through Fourth Quarter,event.q1234Score
q1234ScoreOpponent,GAME_ENTITY,INT,Opponent Score Through Fourth Quarter,event.q1234ScoreOpponent
q1234ScoreDiff,GAME_ENTITY,INT,Score Through Fourth Quarter Diff,event.q1234ScoreDiff
scoreGameClock,GAME_EVENT,INT,Game Clock at Time of Score,event.scoreGameClock
playTimeOfPossession,GAME_EVENT,INT,Play Time of Possession,event.playTimeOfPossession
boxDefensiveInterceptions,GAME_ENTITY,INT,Game Box Defensive Interceptions,event.boxDefensiveInterceptions
boxDefensiveInterceptionsTds,GAME_ENTITY,INT,Game Box Defensive Interceptions Tds,event.boxDefensiveInterceptionsTds
boxDefensiveInterceptionsYards,GAME_ENTITY,INT,Game Box Defensive Interceptions Yards,event.boxDefensiveInterceptionsYards
boxDefensiveSacks,GAME_ENTITY,FLOAT,Game Box Defensive Sacks,event.boxDefensiveSacks
boxDefensiveSafeties,GAME_ENTITY,INT,Game Box Defensive Safeties,event.boxDefensiveSafeties
boxFirstdownsTotal,GAME_ENTITY,INT,Game Box Firstdowns Total,event.boxFirstdownsTotal
boxFumblesLost,GAME_ENTITY,INT,Game Box Fumbles Lost,event.boxFumblesLost
boxFumblesTotal,GAME_ENTITY,INT,Game Box Fumbles Total,event.boxFumblesTotal
boxKickingFgAtt,GAME_ENTITY,INT,Game Box Kicking Fg Att,event.boxKickingFgAtt
boxKickingFgBlk,GAME_ENTITY,INT,Game Box Kicking Fg Blk,event.boxKickingFgBlk
boxKickingFgMade,GAME_ENTITY,INT,Game Box Kicking Fg Made,event.boxKickingFgMade
boxKickingXkAtt,GAME_ENTITY,INT,Game Box Kicking Xk Att,event.boxKickingXkAtt
boxKickingXkBlk,GAME_ENTITY,INT,Game Box Kicking Xk Blk,event.boxKickingXkBlk
boxKickingXkMade,GAME_ENTITY,INT,Game Box Kicking Xk Made,event.boxKickingXkMade
boxKickoffTotal,GAME_ENTITY,INT,Game Box Kickoff Total,event.boxKickoffTotal
boxKickoffTouchbacks,GAME_ENTITY,INT,Game Box Kickoff Touchbacks,event.boxKickoffTouchbacks
boxKickReturns,GAME_ENTITY,INT,Game Box Kick Returns,event.boxKickReturns
boxKickReturnsTouchdowns,GAME_ENTITY,INT,Game Box Kick Returns Touchdowns,event.boxKickReturnsTouchdowns
boxKickReturnsYards,GAME_ENTITY,INT,Game Box Kick Returns Yards,event.boxKickReturnsYards
boxPassingAttempts,GAME_ENTITY,INT,Game Box Passing Attempts,event.boxPassingAttempts
boxPassingCompletions,GAME_ENTITY,INT,Game Box Passing Completions,event.boxPassingCompletions
boxPassingFirstDowns,GAME_ENTITY,INT,Game Box Passing First Downs,event.boxPassingFirstDowns
boxPassingInterceptions,GAME_ENTITY,INT,Game Box Passing Interceptions,event.boxPassingInterceptions
boxPassingSacked,GAME_ENTITY,INT,Game Box Passing Sacked,event.boxPassingSacked
boxPassingSackedYardsLost,GAME_ENTITY,INT,Game Box Passing Sacked Yards Lost,event.boxPassingSackedYardsLost
boxPassingTouchdowns,GAME_ENTITY,INT,Game Box Passing Touchdowns,event.boxPassingTouchdowns
boxPassingYards,GAME_ENTITY,INT,Game Box Passing Yards,event.boxPassingYards
boxPuntingBlocked,GAME_ENTITY,INT,Game Box Punting Blocked,event.boxPuntingBlocked
boxPuntingPunts,GAME_ENTITY,INT,Game Box Punting Punts,event.boxPuntingPunts
boxPuntingYards,GAME_ENTITY,INT,Game Box Punting Yards,event.boxPuntingYards
boxPuntReturns,GAME_ENTITY,INT,Game Box Punt Returns,event.boxPuntReturns
boxPuntReturnsTouchdowns,GAME_ENTITY,INT,Game Box Punt Returns Touchdowns,event.boxPuntReturnsTouchdowns
boxPuntReturnsYards,GAME_ENTITY,INT,Game Box Punt Returns Yards,event.boxPuntReturnsYards
boxRushingAttempts,GAME_ENTITY,INT,Game Box Rushing Attempts,event.boxRushingAttempts
boxRushingFirstDowns,GAME_ENTITY,INT,Game Box Rushing First Downs,event.boxRushingFirstDowns
boxRushingTouchdowns,GAME_ENTITY,INT,Game Box Rushing Touchdowns,event.boxRushingTouchdowns
boxRushingYards,GAME_ENTITY,INT,Game Box Rushing Yards,event.boxRushingYards
boxTouchdownsTotal,GAME_ENTITY,INT,Game Box Touchdowns Total,event.boxTouchdownsTotal
openingCoinTossChoiceVerbose,GAME,ENUM,Opening Coin Toss Selection,event.openingCoinTossChoiceVerbose
overtimeCoinTossChoiceVerbose,GAME,ENUM,Overtime Coin Toss Selection,event.overtimeCoinTossChoiceVerbose
half,GAME_EVENT,INT,Half,event.half
notContacted,GAME_EVENT_ENTITY,FLAG,Not Contacted Flag,event.notContacted
contractTeam,TRANSACTION_ENTITY,FLAG,Dead Money Team,event.contractTeam
contractPlayer,TRANSACTION_ENTITY,FLAG,Dead Money Player,event.contractPlayer
contractSigningTeam,TRANSACTION_ENTITY,FLAG,Contract Signing Team,event.contractSigningTeam
isRookieContract,TRANSACTION,FLAG,Is Rookie Contract,event.isRookieContract
renegotiation,TRANSACTION,FLAG,Renegotiation,event.renegotiation
gameId,GAME,INT,Id of the game,event.gameId
possession,GAME_EVENT_ENTITY,FLAG,Has Possession at the Start of the Play,event.possession
playSequence,GAME_EVENT,FLOAT,Id of the play,event.playSequence
gameTeamFullName,GAME_ENTITY,STRING,Full Name at time of Game,event.gameTeamFullName
gameTeamAbbrevName,GAME_ENTITY,STRING,Abbreviated Name at time of Game,event.gameTeamAbbrevName
gameTeamToken,GAME_ENTITY,STRING,Token at time of Game,event.gameTeamToken
gameTeamLocationName,GAME_ENTITY,STRING,Location Name at time of Game,event.gameTeamLocationName
gameTeamName,GAME_ENTITY,STRING,Team Name at time of Game,event.gameTeamName
possTeamNextPoints,GAME_EVENT,INT,The Next Number of Points Scored For or Against the Possession Team,event.possTeamNextPoints
defSack1,GAME_EVENT_ENTITY,FLAG,Player 1 Involved in Sack,event.defSack1
defSack2,GAME_EVENT_ENTITY,FLAG,Player 2 Involved in Sack,event.defSack2
lastSeasonConferenceRank,GAME_ENTITY,INT,Last Season Conference Rank,event.lastSeasonConferenceRank
lastSeasonDivisionRank,GAME_ENTITY,INT,Last Season Division Rank,event.lastSeasonDivisionRank
lastSeasonLosses,GAME_ENTITY,INT,Last Season Losses,event.lastSeasonLosses
lastSeasonPlayoffs,GAME_ENTITY,ENUM,Last Season Playoff Depth,event.lastSeasonPlayoffs
lastSeasonTies,GAME_ENTITY,INT,Last Season Ties,event.lastSeasonTies
lastSeasonWins,GAME_ENTITY,INT,Last Season Wins,event.lastSeasonWins
inCoverage,GAME_EVENT_ENTITY,FLAG,Player In Coverage,event.inCoverage
inPassBlock,GAME_EVENT_ENTITY,FLAG,Player Pass Blocked,event.inPassBlock
inPassRush,GAME_EVENT_ENTITY,FLAG,Player Pass Rushed,event.inPassRush
gameIsFirstYearWithTeam,GAME_ENTITY,FLAG,Is First Year with Team at Time of Game,event.gameIsFirstYearWithTeam
gameIsRookieContract,GAME_ENTITY,FLAG,Is Rookie Contract at Time of Game,event.gameIsRookieContract
qbStarterId,GAME_ENTITY,INT,QB Starter ID for Team,event.qbStarterId
qbStarterName,GAME_ENTITY,STRING,QB Starter Name for Team,event.qbStarterName
coachFirstName,GAME_ENTITY,STRING,Coach First Name,event.coachFirstName
coachFullName,GAME_ENTITY,STRING,Coach Full Name,event.coachFullName
coachId,GAME_ENTITY,INT,Coach ID,event.coachId
coachLastName,GAME_ENTITY,STRING,Coach Last Name,event.coachLastName
defDroppedInt,GAME_EVENT_ENTITY,FLAG,Player/Team Dropped Interception,event.defDroppedInt
droppedInt,GAME_EVENT,FLAG,Dropped Interception on Play,event.droppedInt
playEPA,GAME_EVENT,FLOAT,Expected Points Added for Possession Team on Play,event.playEPA
game,GAME,FLAG,Is a Game,event.game
inMajorConf,GAME_ENTITY,FLAG,In Major Conference,event.inMajorConf
notInMajorConf,GAME_ENTITY,FLAG,Not In Major Conference,event.notInMajorConf
otScore,GAME_ENTITY,INT,OT Score,event.otScore
gameCoverage,GAME,ENUM,Game Data Coverage,event.gameCoverage
gameSource,GAME,ENUM,Game Data Source,event.gameSource
winLoss,GAME_ENTITY,ENUM,"Win, Loss, Tie",event.winLoss
homeAway,GAME_ENTITY,ENUM,"Home, Away, Neutral",event.homeAway
distToSuccess,GAME_EVENT,INT,Distance to Successful Play,event.distToSuccess
playAirYardsFromSuccess,GAME_EVENT,INT,Air Yards Past Success Line,event.playAirYardsFromSuccess
successfulPlay,GAME_EVENT,FLAG,Successful Play,event.successfulPlay
stFormation,GAME_EVENT,ENUM,Special Teams Formation,event.stFormation
firstPressure,GAME_EVENT_ENTITY,FLAG,First Player to create Pressure,event.firstPressure
playNumInGame,GAME_EVENT,INT,Team Offensive Play Number In Game,event.playNumInGame
playNumInHalf,GAME_EVENT,INT,Team Offensive Play Number In Half,event.playNumInHalf
offAByeWeek,GAME_ENTITY,FLAG,Last Week a Bye,event.offAByeWeek
daysOfRest,GAME_ENTITY,INT,Days of rest between games,event.daysOfRest
previousGameResult,GAME_ENTITY,ENUM,Last Game WIN/LOSS/Tie,event.previousGameResult
olCount,GAME_EVENT,INT,OL Count,event.olCount
qbCount,GAME_EVENT,INT,QB Count,event.qbCount
hasOddsData,GAME,FLAG,Has Odds Data,event.hasOddsData
oddsHomePointSpread,GAME,FLOAT,Odds Home Point Spread,event.oddsHomePointSpread
oddsOverUnderTotal,GAME,FLOAT,Odds Over Under Total,event.oddsOverUnderTotal
coachGameNumSBEra,GAME_ENTITY,INT,Head Coach Game Num in SB ERA,event.coachGameNumSBEra
oddsPointSpread,GAME_ENTITY,FLOAT,Odds Point Spread for Team,event.oddsPointSpread
qbStartNumSBEra,GAME_ENTITY,INT,QB Start Num in SB ERA,event.qbStartNumSBEra
oddsHomeCoverMargin,GAME,FLOAT,Odds Home Cover Margin,event.oddsHomeCoverMargin
oddsOverMargin,GAME,FLOAT,Odds Over Under Over Margin,event.oddsOverMargin
oddsTotalOver,GAME,FLAG,Odds Over Under Total Over,event.oddsTotalOver
oddsCoverLoss,GAME_ENTITY,FLAG,Odds Cover Loss for Team,event.oddsCoverLoss
oddsCoverMargin,GAME_ENTITY,FLOAT,Odds Cover Margin for Team,event.oddsCoverMargin
oddsCoverWin,GAME_ENTITY,FLAG,Odds Cover Win for Team,event.oddsCoverWin
oddsCoverPush,GAME_ENTITY,FLAG,Odds Cover Push for Team,event.oddsCoverPush
oddsTotalPush,GAME,FLAG,Odds Over Under Total Push,event.oddsTotalPush
oddsTotalUnder,GAME,FLAG,Odds Over Under Total Under,event.oddsTotalUnder
nickName,ENTITY,STRING,Team Nick Name,event.nickName
defensiveCoordinatorFirstName,GAME_ENTITY,STRING,Coordinator First Name,event.defensiveCoordinatorFirstName
defensiveCoordinatorFullName,GAME_ENTITY,STRING,Coordinator Full Name,event.defensiveCoordinatorFullName
defensiveCoordinatorId,GAME_ENTITY,STRING,Coordinator ID,event.defensiveCoordinatorId
defensiveCoordinatorLastName,GAME_ENTITY,STRING,Coordinator Last Name,event.defensiveCoordinatorLastName
gameTeamNickName,GAME_ENTITY,STRING,Team Nick Name at time of Game,event.gameTeamNickName
offensiveCoordinatorFirstName,GAME_ENTITY,STRING,Coordinator First Name,event.offensiveCoordinatorFirstName
offensiveCoordinatorFullName,GAME_ENTITY,STRING,Coordinator Full Name,event.offensiveCoordinatorFullName
offensiveCoordinatorId,GAME_ENTITY,STRING,Coordinator ID,event.offensiveCoordinatorId
offensiveCoordinatorLastName,GAME_ENTITY,STRING,Coordinator Last Name,event.offensiveCoordinatorLastName
espnNGSPlayerMetricsR5ReceiverId,GAME_EVENT,INT,ESPN NGS Player Metrics R5 Receiver Player Id,event.espnNGSPlayerMetricsR5ReceiverId
espnNGSPlayerMetricsRouteR5Class,GAME_EVENT,ENUM,ESPN NGS Player Metrics Route R5 Class,event.espnNGSPlayerMetricsRouteR5Class
espnNGSPlayerMetricsRouteR5DefenderId,GAME_EVENT,INT,ESPN NGS Player Metrics Route R5 Defender Player Id,event.espnNGSPlayerMetricsRouteR5DefenderId
espnNGSPlayerMetricsRouteR5Group,GAME_EVENT,ENUM,ESPN NGS Player Metrics Route R5 Group,event.espnNGSPlayerMetricsRouteR5Group
espnNGSPlayerMetricsRouteR5GroupTypeCode,GAME_EVENT,ENUM,ESPN NGS Player Metrics Route R5 Group Type Id,event.espnNGSPlayerMetricsRouteR5GroupTypeCode
espnNGSPlayerMetricsRouteR5Jet,GAME_EVENT,FLAG,ESPN NGS Player Metrics Route R5 Jet,event.espnNGSPlayerMetricsRouteR5Jet
espnNGSPlayerMetricsRouteR5MaxDepth,GAME_EVENT,FLOAT,ESPN NGS Player Metrics Route R5 Max Depth,event.espnNGSPlayerMetricsRouteR5MaxDepth
ngsTimeToThrow,GAME_EVENT,INT,NULL,event.ngsTimeToThrow
ngsTimeToTackle,GAME_EVENT,INT,NULL,event.ngsTimeToTackle
ngsTimeInTackleBox,GAME_EVENT,INT,NULL,event.ngsTimeInTackleBox
ngsTargetYardsGainedBeforeCloseInAfterCatch,GAME_EVENT,FLOAT,NULL,event.ngsTargetYardsGainedBeforeCloseInAfterCatch
ngsTargetYardsAfterCatchOverExpected,GAME_EVENT,FLOAT,NULL,event.ngsTargetYardsAfterCatchOverExpected
ngsTargetSpeedAtPassArrived,GAME_EVENT,FLOAT,NULL,event.ngsTargetSpeedAtPassArrived
ngsTargetSideOfCenter,GAME_EVENT,ENUM,NULL,event.ngsTargetSideOfCenter
ngsTargetSeparationClosedFromPassForwardToOutcome,GAME_EVENT,FLOAT,NULL,event.ngsTargetSeparationClosedFromPassForwardToOutcome
ngsTargetSeparationAtPassForward,GAME_EVENT,FLOAT,NULL,event.ngsTargetSeparationAtPassForward
ngsTargetSeparationAtPassArrived,GAME_EVENT,FLOAT,NULL,event.ngsTargetSeparationAtPassArrived
ngsTargetSeparationAtOutcome,GAME_EVENT,FLOAT,NULL,event.ngsTargetSeparationAtOutcome
ngsTargetRoute,GAME_EVENT,ENUM,NULL,event.ngsTargetRoute
ngsTargetPlayPositionDetailedGroup,GAME_EVENT,ENUM,Target Play Position Detailed Group,event.ngsTargetPlayPositionDetailedGroup
ngsTargetLocationType,GAME_EVENT,ENUM,NULL,event.ngsTargetLocationType
ngsTargetLocationSticksMidOffsetAtThrowX,GAME_EVENT,FLOAT,NULL,event.ngsTargetLocationSticksMidOffsetAtThrowX
ngsTargetLocationSticksMidOffsetAtPassOutcomeX,GAME_EVENT,FLOAT,NULL,event.ngsTargetLocationSticksMidOffsetAtPassOutcomeX
ngsTargetLocationLOSMidOffsetAtThrowY,GAME_EVENT,FLOAT,NULL,event.ngsTargetLocationLOSMidOffsetAtThrowY
ngsTargetLocationLOSMidOffsetAtPassOutcomeY,GAME_EVENT,FLOAT,NULL,event.ngsTargetLocationLOSMidOffsetAtPassOutcomeY
ngsTargetLocationBallSnapOffsetAtThrowY,GAME_EVENT,FLOAT,NULL,event.ngsTargetLocationBallSnapOffsetAtThrowY
ngsTargetLocationBallSnapOffsetAtThrowX,GAME_EVENT,FLOAT,NULL,event.ngsTargetLocationBallSnapOffsetAtThrowX
ngsTargetLocationBallSnapOffsetAtPassOutcomeY,GAME_EVENT,FLOAT,NULL,event.ngsTargetLocationBallSnapOffsetAtPassOutcomeY
